slug,mean_reliability,hdi_2_5,hdi_97_5,n_obs
sand-mountain-sam,0.6525746586365492,0.4613458361379943,0.8879598863987898,6
beardsley-bart,0.644998568750718,0.44055665288563395,0.8656489496710308,5
general-beauregard-lee,0.6373945110480292,0.45350075154816116,0.8188520690050344,14
middlemiss-mike,0.624828625681203,0.41771198857214153,0.8583042701673954,4
staten-island-chuck,0.617562453265032,0.4282477850029726,0.8367868198235325,6
chesapeake-chuck,0.6106130538561767,0.38126648250159006,0.8392409902219838,3
concord-charlie,0.6089351451179769,0.42975531466386874,0.7952272852890473,11
two-rivers-tunnel,0.6081617278634078,0.4075878753723999,0.8117290226250413,7
chuckles-the-groundhog,0.6037840172211725,0.4136398043095101,0.8290688485118376,5
poor-richard,0.5994635406451709,0.3986549079018302,0.8128841815800527,5
snohomish-slew,0.5964603881327369,0.39066875572446075,0.8369740843798784,3
smith-lake-jake,0.5960254767846318,0.3930447359158869,0.8176521837426114,5
mount-gretna-grady,0.5918373115545655,0.37712286704021136,0.8315198410417479,2
bee-cave-bob,0.5857173477004946,0.35459564673816596,0.8244411260265857,2
flatiron-freddy,0.5852421448520526,0.36066259261230105,0.8194861616662876,2
stonewall-jackson,0.5829011642593555,0.3832640977508844,0.8211283412580662,4
lander-lil,0.5825821021458027,0.38793624859332126,0.7925723346588862,8
stormy-marmot,0.5820923396529508,0.35595591426510387,0.8238009021395539,2
balzac-billy,0.5802250001143768,0.37789923348057874,0.788368067729102,8
snowy-the-prairie-dog,0.5789654300199423,0.3455404921781333,0.8123274790073165,2
grover-and-sue,0.5760824624759466,0.3719692635869568,0.7804289472553299,6
chilly-charlie,0.5757484923054738,0.3753264576393723,0.7829540571457231,6
lady-edwina-of-essex,0.5676093311208353,0.3374763648829888,0.8162244850176942,1
gertie-the-groundhog,0.5672373960620279,0.38370230753058604,0.7883189081105237,6
cluxatawney-henrietta,0.565710375131041,0.33078081453559915,0.8162151426440583,1
pisgah-penny,0.5654988116979216,0.3428418133802048,0.8333230190283692,1
french-creek-freddie,0.562258449986091,0.36212520701334094,0.7377916316020391,10
oil-springs-ollie,0.5604523675480996,0.33734887660285195,0.8009148154814106,3
jimmy-the-groundhog,0.554628355075,0.3681880900412183,0.7259246139489752,15
big-al,0.5537603290774166,0.3302580415859338,0.7885194154529517,3
holtsville-hal,0.5528419976566227,0.36989118950248023,0.7539833967362161,7
woodstock-willie,0.544407316200668,0.3401315553711112,0.7379658255053607,7
fred-la-marmotte,0.5410054378021509,0.3243435511778641,0.7466558491747454,4
harleysville-hank,0.5369364276991133,0.2993362879075218,0.7564483065686394,4
poppy-the-groundhog,0.5358034690589455,0.31382012318231695,0.7742411671299863,2
dover-doug,0.5353327311106653,0.3206823385389888,0.7493178107521223,4
lawrenceville-lucy,0.5349218479582221,0.315334635091807,0.7473449473951028,4
yonah-the-groundhog,0.5341102102254748,0.2950384811814469,0.7634825599298691,2
shubenacadie-sam,0.5239731248414355,0.3261026282566587,0.722324694247805,9
lucy-the-lobster,0.5153894648356673,0.2806487215389982,0.7431449024999216,3
ms-g,0.5139637680204826,0.30294958210699846,0.7330373276272325,5
manitoba-merv,0.5131589288674212,0.2937127688604453,0.7046861508273998,8
scramble-the-duck,0.5130986305773441,0.2675993448232414,0.7217873278186366,3
patty-pagoda,0.512726929860572,0.2904682389868802,0.7073567254434677,5
octoraro-orphie,0.5111942121769182,0.3040123025588704,0.6823677637037359,11
tinicum-tim,0.5092279982896211,0.26447207884388774,0.7220741410803934,3
concord-casimir,0.5092190323042504,0.2592062226796332,0.747712053816699,1
bowman-bill,0.5088622966755025,0.2530283908142257,0.7199252185624441,3
mt-parker,0.5082118774073225,0.2551384788066177,0.7488044903560729,1
dunkirk-dave,0.5071975755737732,0.2970506586922708,0.7009521632695045,7
birmingham-jill,0.5060630704462892,0.25060671645436744,0.7548704285845994,1
wildwood-willie,0.5060411802966301,0.2531838511308259,0.7150854130278589,3
sylvia-the-apex-armadillo,0.5060074746494849,0.2486067798586779,0.7393737437507536,1
charles-winchester,0.5053633707695787,0.26572442950964664,0.7737346991201757,1
woody-the-woodchuck,0.5052269473986504,0.28995109286354476,0.7056328393124572,7
polk-county-paula,0.5051317949637215,0.268376097813812,0.7309316018940478,3
uni-the-groundhog,0.49079779595037665,0.2771669464413537,0.6971155801695732,6
mount-joy-minnie,0.49037812844115947,0.2803880727671348,0.70000799421266,6
punxsutawney-phil,0.48922251647080944,0.2931359169594779,0.6668292890498251,12
fenwick-flossie,0.4876176124598512,0.2669914563290126,0.6792165407554113,6
boise-bill,0.4867895920016834,0.24883583661138098,0.7029396855704355,5
benny-the-bass,0.48422237365195586,0.2509067326533334,0.7028642584552556,4
athene-the-burrowing-owl,0.48408165990624447,0.24868036069991944,0.697920782702882,4
snerd,0.4836290215379231,0.2579549026944197,0.6935822954356732,4
wiarton-willie,0.47267476214902693,0.2869011194168417,0.6518110706530431,13
sir-walter-wally,0.4691240236929421,0.2529220434056698,0.6555352425909322,7
potomac-phil,0.4662448872569205,0.22296218853011765,0.6606999064501848,5
malverne-mel,0.4621062705810584,0.26114027655332905,0.6488609220450401,10
mojave-max,0.44205482032520477,0.19054721553146867,0.6429427633529802,5
chuck-wood,0.44054057845530814,0.1632893935406535,0.6547918564975839,3
buffalo-bert,0.43436736684925076,0.19796650171985122,0.6453188676199476,4
schnogadahl-sammi,0.4294131828990893,0.1950842298608534,0.6230866644384229,7
